epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.327,1.59182,2.96673,2.39973,0.07796,0.65909,0.33036,0.12398,1.75857,3.4027,3.15472,0.00062,0.00062,0.00062
2,426.203,1.60785,2.54154,2.31582,0.43678,0.42313,0.31522,0.11024,1.69613,3.2067,2.6084,0.00113526,0.00113526,0.00113526
